#PROG: Sep 19 2016, 10:15:58
#RTC: 2016/9/19-10:15:27,
#StatsDelayMs=10000,EdiskDelayMs=1500000,NClickTimes=5,LedsThresh=[30,70,150,350,800,]
#StatsETA=4146,EdiskETA=1494146,isRec=1,clicks=0,maxCPM=0,EDISK_nextIx=301,
#  clickTimes=[5854,5854,5854,5854,5854,]
clicks,maxCPM
1474280137,6,71
1474280147,5,44
1474280157,4,54
1474280167,13,301
1474280177,10,344
1474280187,5,369
1474280197,8,81
1474280207,4,59
1474280217,9,130
1474280227,4,57
1474280237,5,31
1474280247,5,86
1474280257,6,147
1474280267,3,21
1474280277,9,222
1474280287,5,114
1474280297,3,35
1474280307,12,259
1474280317,5,46
1474280327,6,73
1474280337,3,53
1474280347,7,127
1474280357,8,75
1474280367,7,117
1474280377,7,72
1474280387,6,110
1474280397,3,37
1474280407,7,47
1474280417,8,133
1474280427,10,275
1474280437,5,317
1474280447,5,48
1474280457,6,183
1474280467,6,77
1474280477,3,53
1474280487,8,97
1474280497,7,67
1474280507,6,45
1474280517,10,125
1474280527,13,166
1474280537,8,123
1474280547,11,142
1474280557,2,48
1474280567,4,35
1474280577,4,22
1474280587,8,153
1474280597,6,73
1474280607,7,123
1474280617,2,26
1474280627,4,27
1474280637,3,39
1474280647,3,29
1474280657,13,156
1474280667,4,51
1474280677,6,51
1474280687,5,63
1474280697,11,195
1474280707,9,86
1474280717,5,78
1474280727,13,178
1474280737,3,93
1474280747,7,65
1474280757,7,72
1474280767,8,246
1474280777,7,75
1474280787,6,141
1474280797,7,103
1474280808,7,131
1474280818,6,80
1474280828,8,181
1474280838,7,183
1474280848,4,43
1474280858,5,56
1474280868,12,156
1474280878,4,59
1474280888,9,96
1474280898,3,37
1474280908,3,30
1474280918,3,23
1474280928,6,70
1474280938,3,47
1474280948,9,193
1474280958,4,189
1474280968,7,89
1474280978,6,83
1474280988,4,57
1474280998,4,41
1474281008,6,59
1474281018,7,66
1474281028,5,54
1474281038,11,121
1474281048,9,140
1474281058,6,99
1474281068,7,58
1474281078,6,83
1474281088,8,143
1474281098,11,129
1474281108,11,151
1474281118,2,62
1474281128,5,35
1474281138,5,73
1474281148,5,108
1474281158,7,82
1474281168,6,210
1474281178,5,76
1474281188,4,53
1474281198,4,24
1474281208,8,97
1474281218,9,98
1474281228,9,153
1474281238,6,71
1474281248,6,60
1474281258,10,111
1474281268,6,102
1474281278,6,68
1474281288,9,552
1474281298,4,37
1474281308,7,140
1474281318,5,43
1474281328,4,49
1474281338,10,155
1474281348,4,30
1474281358,11,186
1474281368,8,180
1474281378,4,49
1474281388,15,196
1474281398,6,90
1474281408,3,23
1474281418,6,69
1474281428,5,103
1474281438,8,83
1474281448,6,48
1474281458,4,115
1474281468,3,49
1474281478,8,108
1474281488,6,89
1474281498,9,103
1474281508,11,305
1474281518,12,165
1474281528,6,109
1474281538,8,92
1474281548,2,31
1474281558,12,117
1474281568,7,157
1474281578,11,135
1474281588,3,33
1474281598,1,17
1474281608,11,116
1474281618,3,52
#Long loop: REC=1
1474281628,7,62
1474281638,3,26
1474281648,8,73
1474281658,10,110
1474281668,5,92
1474281678,6,64
1474281688,9,103
1474281698,9,191
1474281708,3,38
1474281718,9,103
1474281728,7,101
1474281738,10,114
1474281748,8,84
1474281758,3,53
1474281768,6,43
1474281778,4,73
1474281788,5,48
1474281798,6,67
1474281808,4,36
1474281818,3,35
1474281828,8,97
1474281838,7,76
1474281848,5,55
1474281859,7,95
1474281869,6,90
1474281879,7,88
1474281889,8,154
1474281899,12,131
1474281909,6,109
1474281919,6,103
1474281929,10,159
1474281939,6,75
1474281949,2,37
1474281959,7,42
1474281969,11,265
1474281979,6,46
1474281989,5,70
1474281999,5,100
1474282009,5,56
1474282019,3,30
1474282029,6,69
1474282039,5,50
1474282049,4,60
1474282059,4,31
1474282069,8,168
1474282079,4,88
1474282089,6,102
1474282099,7,129
1474282109,6,104
1474282119,2,24
1474282129,6,46
1474282139,2,44
1474282149,3,22
1474282159,10,143
1474282169,6,143
1474282179,5,86
1474282189,4,27
1474282199,9,98
1474282209,4,117
1474282219,8,122
1474282229,7,89
1474282239,6,58
1474282249,5,57
