CLICKS, MaxCPM5
1474365362,3,36
1474365372,8,113
1474365382,10,241
1474365392,2,40
1474365402,5,46
1474365412,6,50
1474365422,5,53
1474365432,5,82
1474365443,8,267
1474365453,6,64
1474365463,4,29
1474365473,4,117
1474365483,6,98
1474365493,6,114
1474365503,2,35
1474365513,5,66
1474365523,6,48
1474365533,7,95
1474365543,3,33
1474365553,6,73
1474365563,4,51
1474365573,6,167
1474365583,11,189
1474365593,5,131
1474365603,8,112
1474365613,3,64
1474365623,5,70
1474365633,1,28
1474365643,5,68
1474365653,7,98
1474365663,9,140
1474365673,9,74
1474365683,10,223
1474365693,4,51
1474365703,8,74
1474365713,4,70
1474365723,5,42
1474365733,4,44
1474365743,5,38
1474365753,4,77
1474365763,6,36
1474365773,6,75
1474365783,5,45
1474365793,5,47
1474365803,5,49
1474365813,6,51
1474365823,7,297
1474365833,6,53
1474365843,7,66
1474365853,4,96
1474365863,2,17
1474365873,7,100
1474365883,10,124
1474365893,4,37
1474365903,11,270
1474365913,7,155
1474365923,2,31
1474365933,8,110
1474365943,3,72
1474365953,5,37
1474365963,5,62
1474365973,6,88
1474365983,6,59
1474365993,9,133
1474366003,3,48
1474366013,6,47
1474366023,6,110
1474366033,3,38
1474366043,4,24
1474366053,10,96
1474366063,6,256
1474366073,2,63
1474366083,10,379
1474366093,6,164
1474366103,5,72
1474366113,9,135
1474366123,4,74
1474366133,4,29
1474366143,5,61
1474366153,8,98
1474366163,4,125
1474366173,8,157
1474366183,10,131
1474366193,8,91
1474366203,5,82
1474366213,3,27
1474366223,6,65
1474366233,4,35
1474366243,9,112
1474366253,5,57
1474366263,6,52
1474366273,6,282
1474366283,7,161
1474366293,4,37
1474366303,3,47
1474366313,3,27
1474366323,6,76
1474366333,7,62
1474366343,7,80
1474366353,9,111
1474366363,5,79
1474366373,7,73
1474366383,2,60
1474366393,6,109
1474366403,10,150
1474366413,6,76
1474366423,8,108
1474366433,11,144
1474366443,2,58
1474366453,2,20
1474366463,3,18
1474366474,6,95
1474366484,4,26
1474366494,6,98
1474366504,6,113
1474366514,3,30
1474366524,6,67
1474366534,5,64
1474366544,7,62
1474366554,4,44
1474366564,1,27
1474366574,4,23
1474366584,6,53
1474366594,4,34
1474366604,6,86
1474366614,0,0
1474366624,5,32
1474366634,6,90
1474366644,6,64
1474366654,6,53
1474366664,8,141
1474366674,4,113
1474366684,6,118
1474366694,5,41
1474366704,6,61
1474366714,4,61
1474366724,7,84
1474366734,5,804
1474366744,10,419
1474366754,9,121
1474366764,3,42
1474366774,7,60
1474366784,3,60
1474366794,6,52
1474366804,5,49
1474366814,5,56
1474366824,7,96
1474366834,6,106
1474366844,6,48
1474366854,6,93
1474366864,6,92
1474366874,5,47
1474366884,10,135
1474366894,6,92
1474366904,9,194
1474366914,3,59
1474366924,8,91
1474366934,10,107
1474366944,4,90
1474366954,4,28
1474366964,9,124
1474366974,10,194
1474366984,7,149
1474366994,2,38
1474367004,3,17
1474367014,6,46
1474367024,7,101
1474367034,8,129
1474367044,4,46
1474367054,9,88
1474367064,12,186
1474367074,6,74
1474367084,6,66
1474367094,6,45
1474367104,4,54
1474367114,3,29
1474367124,3,59
1474367134,4,19
1474367144,9,254
1474367154,6,109
1474367164,7,232
1474367174,5,63
1474367184,5,69
1474367194,8,87
1474367204,6,77
1474367214,7,168
1474367224,3,41
1474367234,5,65
1474367244,4,55
1474367254,7,70
1474367264,5,73
1474367274,3,40
1474367284,5,34
1474367294,8,87
1474367304,8,108
1474367314,5,54
1474367324,7,91
1474367334,6,61
1474367344,8,238
1474367354,6,100
1474367364,5,42
1474367374,4,76
1474367384,4,45
1474367394,3,25
1474367404,8,123
1474367414,4,40
1474367424,10,100
1474367434,2,90
1474367444,7,70
1474367454,6,56
1474367464,8,102
1474367474,6,60
1474367484,4,51
1474367495,6,62
1474367505,6,76
1474367515,10,272
1474367525,8,71
1474367535,2,44
1474367545,11,313
1474367555,6,82
1474367565,9,174
1474367575,3,78
1474367585,6,166
1474367595,9,89
1474367605,5,174
1474367615,8,81
1474367625,7,73
1474367635,3,36
1474367645,13,137
1474367655,6,100
1474367665,1,18
1474367675,6,59
1474367685,6,65
1474367695,5,43
1474367705,3,32
1474367715,7,59
1474367725,4,70
1474367735,2,25
1474367745,3,18
1474367755,5,102
1474367765,12,374
1474367775,4,82
1474367785,5,48
1474367795,6,61
1474367805,7,84
1474367815,11,303
1474367825,6,315
1474367835,6,36
1474367845,6,65
1474367855,6,114
1474367865,4,45
1474367875,8,109
1474367885,5,58
1474367895,5,62
1474367905,9,121
1474367915,3,320
1474367925,4,28
1474367935,7,166
1474367945,4,83
1474367955,9,94
1474367965,5,63
1474367975,5,81
1474367985,12,158
1474367995,7,60
1474368005,2,62
1474368015,3,23
1474368025,4,30
1474368035,1,18
1474368045,1,12
1474368055,5,37
1474368065,8,74
1474368075,9,93
1474368085,8,75
1474368095,6,66
1474368105,6,113
1474368115,3,32
1474368125,3,23
1474368135,9,77
1474368145,3,36
1474368155,2,22
1474368165,5,107
1474368175,8,104
1474368185,5,64
1474368195,5,43
1474368205,5,97
1474368215,5,49
1474368225,4,53
1474368235,4,30
1474368245,5,83
1474368255,6,39
1474368265,5,40
1474368275,15,266
1474368285,6,244
1474368295,5,57
1474368305,4,34
1474368315,5,84
1474368325,6,126
1474368335,3,21
1474368345,3,41
1474368355,11,136
1474368365,7,77
1474368375,5,67
1474368385,4,36
1474368395,6,42
1474368405,9,175
1474368415,10,130
1474368425,7,88
1474368435,2,46
1474368445,4,26
1474368455,5,55
1474368465,7,53
1474368475,6,84
1474368485,8,59
1474368495,4,124
1474368505,7,56
1474368515,7,91
1474368526,5,52
1474368536,10,140
1474368546,6,78
1474368556,2,43
1474368566,8,66
1474368576,5,73
1474368586,7,77
1474368596,7,143
1474368606,4,39
1474368616,2,22
1474368626,8,76
1474368636,6,88
1474368646,5,104
1474368656,1,18
1474368666,4,27
1474368676,4,43
1474368686,6,64
1474368696,7,60
1474368706,5,52
1474368716,5,105
1474368726,6,49
1474368736,6,65
1474368746,6,74
1474368756,4,78
1474368766,7,63
1474368776,4,52
1474368786,7,115
1474368796,4,65
1474368806,1,21
1474368816,7,54
1474368826,3,39
1474368836,4,26
1474368846,7,377
1474368856,4,44
1474368866,0,0
1474368876,4,15
1474368886,4,51
1474368896,7,148
1474368906,3,46
1474368916,3,26
1474368926,4,28
1474368936,9,79
1474368946,4,58
1474368956,2,20
1474368966,1,14
1474368976,5,77
1474368986,5,45
1474368996,9,81
1474369006,4,91
1474369016,5,43
1474369026,10,172
1474369036,6,48
1474369046,6,52
1474369056,6,94
1474369066,6,62
1474369076,3,31
1474369086,6,153
1474369096,5,60
1474369106,6,66
1474369116,8,115
1474369126,2,30
1474369136,3,24
1474369146,5,45
1474369156,7,136
1474369166,8,145
1474369176,9,112
1474369186,9,380
1474369196,6,83
1474369206,7,84
1474369216,8,110
1474369226,4,162
1474369236,4,26
1474369246,2,30
1474369256,6,63
1474369266,4,37
1474369276,6,37
1474369286,2,68
1474369296,5,52
1474369306,3,20
1474369316,3,30
1474369326,5,48
1474369336,4,38
1474369346,7,118
1474369356,7,78
1474369366,6,42
1474369376,6,115
1474369386,6,57
1474369396,5,64
1474369406,6,64
1474369416,8,277
1474369426,5,45
1474369436,5,63
1474369446,4,37
1474369456,5,48
1474369466,6,70
1474369476,9,731
1474369486,6,122
1474369496,13,160
1474369506,5,70
1474369516,11,97
1474369526,5,81
1474369536,6,55
1474369546,6,40
1474369556,6,80
1474369566,5,59
1474369576,10,161
1474369587,9,275
1474369597,5,39
1474369607,8,100
1474369617,4,41
1474369627,3,55
1474369637,7,126
1474369647,8,86
1474369657,5,75
1474369667,5,76
1474369677,5,54
1474369687,4,32
1474369697,5,57
1474369707,4,66
1474369717,8,165
1474369727,8,137
1474369737,5,52
1474369747,7,143
1474369757,8,178
1474369767,7,66
1474369777,3,48
1474369787,5,41
1474369797,6,107
1474369807,4,44
1474369817,7,64
1474369827,6,56
1474369837,9,199
1474369847,9,141
1474369857,6,63
1474369867,4,59
1474369877,5,66
1474369887,3,26
1474369897,5,33
1474369907,8,90
1474369917,3,54
1474369927,8,92
1474369937,7,67
1474369947,4,49
1474369957,6,75
1474369967,7,85
1474369977,5,70
1474369987,2,19
1474369997,4,49
1474370007,4,33
1474370017,7,58
1474370027,5,73
1474370037,7,58
1474370047,11,165
1474370057,5,124
1474370067,9,69
1474370077,2,33
1474370087,2,26
1474370097,7,62
1474370107,7,80
1474370117,7,112
1474370127,6,95
1474370137,5,71
1474370147,8,107
1474370157,5,57
1474370167,4,31
1474370177,6,62
1474370187,4,50
1474370197,8,129
1474370207,3,44
1474370217,2,16
1474370227,5,42
1474370237,2,53
1474370247,4,25
1474370257,2,28
1474370267,3,18
1474370277,5,39
1474370287,4,63
1474370297,11,140
1474370307,6,71
1474370317,9,75
1474370327,3,52
1474370337,4,25
1474370347,7,76
1474370357,5,48
1474370367,7,53
1474370377,1,56
1474370387,2,16
1474370397,8,122
1474370407,8,90
1474370417,8,83
1474370427,7,113
1474370437,4,27
1474370447,7,145
1474370457,2,42
1474370467,3,25
1474370477,6,56
1474370487,6,56
1474370497,5,44
1474370507,7,76
1474370517,6,86
1474370527,2,31
1474370537,4,28
1474370547,6,71
1474370557,4,64
1474370567,6,41
1474370577,3,37
1474370587,6,48
1474370597,8,398
1474370608,5,115
1474370618,7,66
