Sep 11, 2016 05:34:10
PROG: Sep 11 2016, 05:32:55
RTC: 2016/9/11-5:34:8,
CLICKS, MaxCPM5
7,87.1080
9,161.8996
6,50.9251
3,59.2768
3,29.6267
4,28.2646
7,81.1688
8,80.7537
6,73.2064
9,122.3990
4,59.4059
4,48.7726
5,42.8327
10,109.2896
1,42.3370
3,17.2582
5,185.0709
8,90.2256
4,64.5439
4,26.3759
5,70.2741
6,37.2347
8,168.6341
5,72.4988
6,49.0036
6,54.2397
10,157.3152
8,94.9367
8,249.1694
4,42.1171
5,138.2488
8,68.1663
6,75.3012
7,78.4109
5,66.7260
6,68.9814
9,120.2405
5,60.8273
9,122.7998
3,90.1984
8,74.5898
12,197.6285
6,143.0615
5,35.4526
7,63.2911
12,164.6542
7,111.1523
5,54.8847
5,60.7287
3,27.8035
7,87.3108
7,78.3290
5,83.3797
7,85.6653
6,58.9739
9,118.3432
5,60.6551
7,73.1886
6,48.6381
5,69.0767
3,22.1321
3,36.6032
8,112.1495
3,27.7392
7,304.2597
5,56.8182
7,81.4111
5,101.1804
6,91.0470
5,46.0405
4,39.5361
5,46.8897
7,97.3078
9,89.9550
6,63.0517
8,94.5776
7,61.5132
7,76.6675
8,129.5896
4,71.6161
1,31.3873
2,14.3534
5,75.3769
5,56.1377
5,42.4749
5,50.8475
5,43.8404
4,35.3565
7,136.5498
3,29.2854
8,95.5718
3,48.9796
4,44.2543
6,40.2145
8,155.1992
5,67.6437
6,58.0945
1,22.0881
10,154.0041
7,72.6392
6,69.1404
13,498.3389
5,66.9195
6,55.2384
5,46.6708
8,109.1306
4,85.3971
12,116.5049
9,168.0672
11,163.4877
8,83.9631
5,75.2634
2,26.6146
2,17.0010
5,79.2393
8,132.2168
5,46.4756
1,25.5776
3,17.0833
4,24.3270
4,58.9391
7,69.2361
5,39.4218
7,125.1043
6,79.5967
6,59.5474
7,63.3580
3,59.8086
7,99.0426
6,62.2536
6,64.0342
7,101.2146
5,41.4307
6,81.3008
6,88.2613
10,122.6492
3,97.7836
3,26.7523
2,16.8435
4,40.7277
4,31.4399
4,65.4593
7,114.1987
4,85.2031
7,259.5156
7,103.3770
10,126.5289
5,102.8101
3,45.3172
6,88.8099
6,74.9625
4,39.5883
5,46.3822
6,72.0807
3,42.2357
7,46.5405
5,77.3794
9,87.8992
5,75.1691
9,102.2495
5,93.6622
3,20.1423
2,26.4690
7,74.4048
7,72.1154
4,52.6685
5,73.2064
5,59.8683
7,71.1069
4,94.8167
6,60.1082
5,103.9861
5,50.1337
2,24.5680
4,35.5282
3,30.5842
5,65.1891
9,152.2843
8,204.0816
4,50.1756
4,40.1660
5,56.4972
3,35.5661
6,39.2567
2,42.2238
7,66.4452
6,88.9680
3,112.1495
8,239.8081
6,58.5480
6,61.2870
14,210.8222
8,143.0615
3,68.4151
3,26.8264
4,30.6780
4,36.6838
5,53.2765
8,128.0410
5,79.8722
1,24.9792
6,84.0336
4,54.1810
5,62.0476
6,81.7439
5,51.2295
6,75.9494
7,80.0000
1,27.6855
5,34.8837
3,35.7611
3,26.2789
5,41.4995
5,48.3014
6,78.7815
4,46.6418
5,40.1016
4,39.4063
4,45.7945
0,0.0000
13,275.2294
4,94.2211
3,30.9629
1,20.8928
2,16.7196
8,193.6733
3,50.5988
6,79.4071
8,193.0502
5,73.1886
0,0.0000
6,80.4721
10,84.4595
4,34.5702
6,74.2391
7,137.4256
1,41.3565
4,22.0702
5,41.6667
6,61.1995
5,116.1890
4,58.5823
12,171.9198
1,76.6088
6,79.2184
6,60.9756
6,51.3963
8,79.1975
6,128.8106
1,55.9180
6,49.5050
5,79.2602
5,40.1875
5,44.4247
4,47.6720
7,89.2326
4,55.5042
4,33.2853
4,33.5046
7,68.5871
4,44.7094
7,50.3694
6,71.0227
3,30.2663
3,34.2583
5,42.2893
11,186.9159
7,87.6937
8,106.9519
4,51.0378
4,31.9149
3,29.3198
11,262.0087
4,116.4596
3,28.0191
5,58.0608
10,100.2674
5,59.7372
4,48.1464
4,36.7422
6,90.5797
4,45.6621
2,30.3552
8,124.3781
3,32.1681
4,41.2996
6,47.6872
4,52.7148
5,65.0336
8,99.0753
8,112.7820
6,67.7048
8,51.0378
4,40.9054
6,61.7157
4,45.3104
3,44.9506
9,94.0734
6,79.9574
4,36.9731
12,394.2182
11,184.1621
7,80.3428
5,79.9361
5,51.6974
3,25.5319
11,105.7455
5,44.2608
5,107.2961
5,38.5010
4,34.5542
7,76.3748
8,142.1801
6,65.5165
8,98.3607
7,63.7349
2,50.4286
4,26.1483
7,206.6116
4,43.0787
10,203.6660
6,61.6396
7,85.0581
8,86.7052
7,63.6132
6,72.4463
5,46.0830
8,77.2400
9,90.2799
3,78.1657
5,37.3785
11,142.8571
7,206.7540
6,100.2674
8,168.3502
4,44.0917
6,60.1082
6,62.0476
1,24.6771
3,18.3981
7,180.6141
4,38.4221
4,30.2267
7,98.6518
9,77.0218
7,91.1300
6,92.0245
1,45.7526
6,57.7478
4,36.6928
3,32.0890
4,36.0360
8,250.2085
10,189.7533
