CLICKS, MaxCPM5
3,87.1333
3,37.8215
4,20.0200
0,0.0000
4,17.3883
5,55.2384
6,60.7533
10,99.9001
8,280.3739
9,151.6683
6,69.5088
3,40.7498
4,31.2761
4,36.0317
8,63.5997
3,36.5631
9,87.0827
8,124.1208
6,50.9857
3,34.3446
4,30.3951
2,31.7326
6,70.8550
8,98.5545
10,116.6408
9,309.5975
6,56.5824
9,107.3345
2,28.7246
6,112.9093
7,69.3161
8,146.1988
3,59.0087
6,49.4886
4,125.3133
6,67.5219
6,60.6796
2,35.2817
6,75.1503
5,96.1230
7,44.7895
7,74.2758
2,43.6681
3,25.1319
7,145.9854
7,157.9779
9,119.3792
4,52.6685
8,67.8580
6,66.0793
2,42.7350
8,170.0680
1,63.1180
8,74.0558
5,62.3571
5,94.8467
8,102.5641
3,44.9977
8,90.9918
7,97.2447
5,72.4288
6,49.2935
3,27.2109
9,142.8571
2,70.2083
6,47.9310
8,87.4381
5,184.5018
5,42.1467
3,31.8742
8,120.1923
8,278.0352
7,98.1033
7,50.4117
8,195.6947
5,74.4417
6,48.4809
7,54.9249
9,93.3998
10,90.1172
2,138.1852
11,296.1501
2,66.4158
7,146.3415
5,73.3138
4,50.6073
6,69.2042
4,112.0657
4,37.6364
5,50.2765
7,104.8584
8,72.7979
7,72.5514
4,54.9753
5,43.5603
7,119.3317
6,80.6018
3,33.0651
10,117.8782
3,93.6330
7,46.8238
7,102.0408
7,64.3639
6,104.8218
7,100.7388
5,71.7360
4,40.0213
5,140.5152
13,369.0037
6,153.4527
6,70.6880
6,122.0008
4,32.4044
7,52.2557
8,132.3919
1,54.7745
9,188.2058
8,72.1674
5,172.9107
5,50.8992
12,150.8296
4,53.0879
7,68.9338
2,112.9518
4,27.0368
6,78.4109
5,41.5973
5,59.4766
2,40.0267
4,24.6326
8,171.9198
3,43.9560
8,91.2686
9,85.1547
4,35.9540
7,98.7167
4,45.0180
6,80.4937
7,83.7755
3,46.8019
8,107.6426
6,81.1469
5,48.6460
12,183.2621
5,94.6372
4,25.9359
5,61.7157
9,101.7984
5,57.3175
4,60.0721
7,154.7988
3,30.7692
8,84.5309
7,68.2749
5,184.0491
2,27.8940
4,27.1444
4,67.8887
9,180.9409
4,42.8878
6,72.9040
6,62.6305
5,80.1282
1,24.8859
6,42.7472
6,83.4957
4,62.2019
1,28.9436
8,124.0182
5,75.0751
4,32.0307
6,77.5795
4,45.0789
4,44.4510
9,76.7067
6,81.4775
6,112.0657
8,93.4871
3,49.2449
