CLICKS, MaxCPM7
1,203.3111
5,60.3969
6,128.0176
3,76.0870
3,38.9581
4,43.0451
7,96.0615
6,73.3522
3,60.8749
6,70.9004
4,87.9287
6,104.3997
8,95.5762
5,130.7434
2,48.4932
4,46.4068
7,78.5282
8,140.4213
6,190.3726
4,62.6398
4,63.4115
1,46.9012
6,38.7232
7,138.5316
7,95.4459
9,292.6422
4,76.2278
4,105.2157
5,52.2466
6,118.2033
5,75.7904
7,123.6749
4,95.1087
6,52.9902
6,112.3956
4,72.9395
3,47.5350
5,56.2656
6,68.8231
5,77.8037
6,83.3532
3,62.8931
3,41.1426
3,36.0509
5,58.9275
4,45.1118
4,65.7895
3,61.7121
9,160.3665
6,72.3141
7,115.5688
9,128.1347
1,68.7623
7,112.5945
3,63.6653
6,79.7539
9,155.3484
7,139.2758
5,78.5899
8,102.4290
2,67.5545
8,106.1571
6,98.2594
6,71.6186
7,90.2178
4,73.5294
3,48.3526
4,41.0605
3,56.5017
3,48.4765
4,43.4082
3,59.4732
10,102.5491
6,123.6531
3,61.8265
4,43.0478
3,48.7975
6,66.4894
5,75.6920
4,54.0582
3,56.2249
1,40.4601
5,35.0789
5,69.6102
6,62.8592
3,79.6541
4,41.1378
4,75.3174
6,71.8907
5,76.3859
5,109.1022
8,198.5816
3,62.6006
5,68.7758
2,61.2531
7,82.9187
5,70.5219
3,47.6839
7,73.1529
4,88.7424
4,65.7648
8,93.7835
8,126.1261
3,97.3845
6,65.7092
5,74.1525
3,53.7924
7,88.2613
8,116.3564
4,98.3146
3,48.3826
6,56.3108
4,84.2055
7,145.7422
3,67.1785
3,56.4653
6,72.4638
3,52.4620
6,72.5840
8,112.4498
3,73.0765
2,55.4895
6,46.2994
3,51.2408
2,42.6335
3,37.3035
8,103.3058
3,59.3723
3,52.8063
5,72.4938
6,83.0466
8,115.2074
7,153.7110
14,271.9503
11,203.1930
5,136.2398
4,65.4634
7,96.6317
4,103.7960
7,96.4719
6,144.7178
7,101.8330
5,97.1682
4,54.7559
4,56.4107
1,38.6313
8,79.4371
5,87.3362
5,68.3661
6,106.2054
4,60.1736
6,66.7620
3,65.2742
4,48.3927
3,47.3357
